date, pm25, pm10, o3, no2, so2, co
2020/8/28, 55, 40, 35, 28, , 5
2020/8/29, 81, 44, 33, 24, , 9
2020/8/30, 87, 48, 41, 17, , 10
2020/8/31, 96, 21, 36, 8, , 1
2020/9/1, 49, 15, 26, 8, , 1
2020/9/2, 35, 21, 27, 12, , 1
2020/9/3, 45, 33, 32, 26, , 6
2020/9/4, 69, 51, 30, 28, , 7
2020/9/5, 99, 31, 39, 12, , 2
2020/9/6, 70, 38, 51, 13, , 3
2020/9/7, 81, 40, 74, 7, , 2
2020/9/8, 92, 34, 36, 14, , 2
2020/9/9, 75, 38, 39, 16, , 2
2020/9/10, 86, 50, 46, 28, , 5
2020/9/11, 91, 50, 54, 31, , 6
2020/9/12, 106, 64, 65, 28, , 6
2020/9/13, 121, 56, 62, 19, , 5
2020/9/14, 113, 53, 56, 19, , 4
2020/9/15, 100, 9, 19, 8, , 1
2020/9/16, 26, 29, 37, 14, , 2
2020/9/17, 61, 46, 35, 21, , 4
2020/9/18, 90, 50, 19, 35, , 6
2020/9/19, 91, , , , , 
2020/9/23, 24, 14, 15, 13, , 1
2020/9/24, 37, 25, 35, 15, , 1
2020/9/25, 56, 33, 55, 23, , 4
2020/9/26, 74, 47, 54, 23, , 6
2020/9/27, 94, 44, 49, 20, , 5
2020/9/28, 82, 41, 27, 21, , 3
2020/9/29, 75, 23, 24, 13, , 2
2020/9/30, 64, 37, 45, 19, , 3
2020/10/1, 74, 49, 58, 31, , 6
2020/4/2, 59, 18, 33, 10, , 1
2020/4/3, 46, 24, 23, 10, , 1
2020/4/4, 48, 22, 45, 5, , 1
2020/4/5, 39, 20, 38, 5, , 1
2020/4/6, 45, 28, 37, 14, , 2
2020/4/7, 59, 17, 22, 8, , 1
2020/4/8, 46, 10, 16, 7, , 1
2020/4/9, 31, 18, 29, 7, , 1
2020/4/10, 36, 21, 37, 7, , 1
2020/4/11, 41, 16, 25, 5, , 1
2020/4/12, 38, 13, 27, 3, , 1
2020/4/13, 33, 20, 29, 9, , 1
2020/4/14, 45, 24, 15, 12, , 1
2020/4/15, 51, 21, 22, 11, , 1
2020/4/16, 43, 28, 33, 15, , 2
2020/4/17, 61, 20, 22, 8, , 1
2020/4/18, 46, 16, 23, 7, , 1
2020/4/19, 36, 12, 23, 3, , 1
2020/4/20, 36, 16, 27, 7, , 1
2020/4/21, 38, 21, 34, 8, , 1
2020/4/22, 48, 25, 32, 11, , 1
2020/4/23, 59, 23, 33, 9, , 1
2020/4/24, 53, 27, 30, 10, , 1
2020/4/25, 60, 32, 42, 11, , 1
2020/4/26, 68, 38, 49, 12, , 3
2020/4/27, 82, 23, 29, 7, , 1
2020/4/28, 50, 21, 24, 11, , 1
2020/4/29, 41, 29, 28, 17, , 2
2020/4/30, 58, 51, 32, 28, , 5
2020/5/1, 93, 45, 40, 19, , 5
2020/5/2, 91, 40, 27, 11, , 3
2020/5/3, 86, 16, 23, 3, , 1
2020/5/4, 29, 21, 25, 9, , 1
2020/5/5, 45, 38, 27, 17, , 2
2020/5/6, 67, 39, 26, 19, , 4
2020/5/7, 69, 12, 15, 7, , 
2020/5/8, 24, 11, 14, 8, , 1
2020/5/9, 28, 17, 23, 9, , 1
2020/5/10, 33, 19, 28, 9, , 1
2020/5/11, 47, 30, 28, 19, , 3
2020/5/12, 64, 43, 25, 25, , 5
2020/5/13, 77, 47, 18, 21, , 5
2020/5/14, 84, 20, 11, 12, , 1
2020/5/15, 48, 12, 13, 9, , 1
2020/5/16, 29, 19, 24, 11, , 1
2020/5/17, 43, 31, 49, 15, , 4
2020/5/18, 79, , , , , 
2020/5/21, 63, 35, 25, 20, , 3
2020/5/22, 70, 40, 16, 16, , 3
2020/5/23, 71, 14, 13, 6, , 1
2020/5/24, 34, 8, 15, 4, , 1
2020/5/25, 25, 11, 23, 6, , 1
2020/5/26, 31, 20, 18, 12, , 1
2020/5/27, 36, 24, 17, 17, , 1
2020/5/28, 48, 22, 20, 14, , 1
2020/5/29, 46, 42, 20, 30, , 5
2020/5/30, 82, 55, 37, 29, , 11
2020/5/31, 111, 51, 39, 22, , 9
2020/6/1, 99, 49, 32, 27, , 7
2020/6/2, 88, 35, 12, 21, , 4
2020/6/3, 79, 30, 19, 17, , 3
2020/6/4, 67, 20, 15, 13, , 1
2020/6/5, 45, 26, 9, 17, , 3
2020/6/6, 65, 28, 15, 15, , 3
2020/6/7, 67, 14, 23, 8, , 1
2020/6/8, 33, 20, 13, 14, , 4
2020/6/9, 48, 36, 11, 20, , 5
2020/6/10, 74, 28, 17, 21, , 5
2020/6/11, 62, 35, 26, 20, , 5
2020/6/12, 60, 41, 28, 30, , 8
2020/6/13, 69, 42, 29, 23, , 8
2020/6/14, 85, 11, 18, 4, , 1
2020/6/15, 28, 9, 13, 9, , 1
2020/6/16, 29, 17, 11, 13, , 2
2020/6/17, 48, 18, 10, 11, , 1
2020/6/18, 55, , , , , 
2020/6/20, 63, , , , , 
2020/6/23, 86, 37, 18, 26, , 5
2020/6/24, 71, 34, 21, 22, , 5
2020/6/25, 59, 44, 21, 21, , 4
2020/6/26, 69, 15, 10, 14, , 2
2020/6/27, 29, 7, 11, 11, , 1
2020/6/28, 18, 5, 16, 5, , 1
2020/6/29, 20, 19, 11, 16, , 2
2020/6/30, 44, 23, 17, 13, , 2
2020/7/1, 41, 20, 17, 12, , 1
2020/1/2, 74, 14, 25, 12, , 1
2020/1/3, 39, 7, 12, 7, , 1
2020/1/4, 27, 9, 20, 8, , 1
2020/1/5, 30, 12, 26, 8, , 1
2020/1/6, 38, 14, 28, 14, , 1
2020/1/7, 31, 19, 35, 15, , 1
2020/1/8, 52, 13, 22, 14, , 1
2020/1/9, 44, 16, 22, 13, , 2
2020/1/10, 49, 17, 28, 14, , 2
2020/1/11, 56, 16, 24, 11, , 2
2020/1/12, 49, 13, 15, 8, , 2
2020/1/13, 43, 15, 19, 9, , 1
2020/1/14, 25, 22, 24, 10, , 1
2020/1/15, 71, 27, 43, 15, , 2
2020/1/16, 57, 32, 26, 20, , 3
2020/1/17, 67, 8, 14, 9, , 1
2020/1/18, 26, 12, 14, 5, , 1
2020/1/19, 28, 14, 20, 6, , 1
2020/1/20, 39, 17, 19, 8, , 1
2020/1/21, 37, 19, 33, 10, , 1
2020/1/22, 49, 18, 19, 10, , 1
2020/1/23, 41, 14, 8, 15, , 2
2020/1/24, 43, 14, 13, 13, , 2
2020/1/25, 43, 13, 28, 8, , 1
2020/1/26, 31, 23, 45, 12, , 2
2020/1/27, 51, 29, 56, 21, , 3
2020/1/28, 62, 39, 35, 24, , 3
2020/1/29, 79, 21, 30, 13, , 1
2020/1/30, 52, 12, 20, 10, , 1
2020/1/31, 39, 12, 18, 11, , 1
2020/2/1, 39, 12, 18, 11, , 2
2020/2/2, 42, 13, 26, 10, , 1
2020/2/3, 43, 10, 11, 12, , 1
2020/2/4, 42, 13, 24, 13, , 1
2020/2/5, 46, 14, 28, 14, , 2
2020/2/6, 63, 17, 18, 18, , 2
2020/2/7, 44, 15, 17, 15, , 2
2020/2/8, 35, 15, 22, 11, , 2
2020/2/9, 36, 12, 21, 7, , 3
2020/2/10, 37, 6, 10, 10, , 1
2020/2/11, 26, 10, 11, 9, , 1
2020/2/12, 28, 12, 12, 9, , 1
2020/2/13, 26, 7, 19, 9, , 1
2020/2/14, 31, 17, 28, 12, , 1
2020/2/15, 42, 19, 31, 12, , 1
2020/2/16, 49, 29, 37, 13, , 3
2020/2/17, 75, 23, 31, 17, , 2
2020/2/18, 57, 20, 33, 15, , 2
2020/2/19, 49, 20, 29, 19, , 3
2020/2/20, 49, 21, 18, 20, , 3
2020/2/21, 57, 14, 13, 16, , 1
2020/2/22, 39, 10, 13, 9, , 2
2020/2/23, 35, 16, 21, 4, , 1
2020/2/24, 36, 21, 29, 11, , 1
2020/2/25, 46, 12, 26, 9, , 1
2020/2/26, 42, 8, 12, 12, , 1
2020/2/27, 29, 11, 13, 9, , 1
2020/2/28, 27, 16, 7, 11, , 1
2020/2/29, 35, 13, 14, 11, , 1
2020/3/1, 31, 4, 14, 4, , 1
2020/3/2, 26, 10, 16, 9, , 1
2020/3/3, 26, 7, 10, 9, , 1
2020/3/4, 23, 16, 19, 11, , 1
2020/3/5, 32, 17, 15, 11, , 1
2020/3/6, 38, 22, 26, 9, , 1
2020/3/7, 40, 20, 31, 7, , 1
2020/3/8, 43, 19, 23, 7, , 1
2020/3/9, 47, 21, 37, 12, , 1
2020/3/10, 52, 26, 47, 13, , 1
2020/3/11, 56, 23, 41, 12, , 1
2020/3/12, 58, 27, 55, 13, , 1
2020/3/13, 56, 33, 44, 16, , 1
2020/3/14, 73, 29, 58, 10, , 1
2020/3/15, 71, 18, 32, 8, , 1
2020/3/16, 54, 14, 31, 13, , 1
2020/3/17, 45, 17, 41, 14, , 1
2020/3/18, 58, 29, 47, 17, , 3
2020/3/19, 76, 24, 24, 17, , 2
2020/3/20, 64, 12, 18, 12, , 1
2020/3/21, 46, 14, 21, 6, , 1
2020/3/22, 49, 14, 28, 4, , 1
2020/3/23, 53, 13, 21, 6, , 1
2020/3/24, 46, 14, 20, 6, , 1
2020/3/25, 62, 14, 25, 6, , 1
2020/3/26, 61, 20, 31, 8, , 1
2020/3/27, 47, 20, 29, 8, , 1
2020/3/28, 58, 22, 34, 7, , 1
2020/3/29, 63, 22, 11, 7, , 1
2020/3/30, 45, , , , , 
2019/10/2, 61, 43, 71, 26, 1, 4
2019/10/3, 73, 36, 38, 17, , 3
2019/10/4, 66, 37, 55, 17, 1, 2
2019/10/5, 75, 40, 59, 14, , 3
2019/10/6, 77, 15, 26, 4, , 1
2019/10/7, 45, 12, 19, 11, , 2
2019/10/8, 28, 17, 23, 16, , 2
2019/10/9, 35, 16, 17, 16, , 3
2019/10/10, 46, 22, 31, 14, 1, 2
2019/10/11, 52, 31, 32, 20, , 4
2019/10/12, 60, 31, 62, 16, 1, 4
2019/10/13, 67, 29, 54, 14, 1, 4
2019/10/14, 56, 35, 63, 17, 1, 4
2019/10/15, 67, 21, 21, 8, , 2
2019/10/16, 42, 29, 19, 11, , 2
2019/10/17, 66, 25, 40, 12, 1, 2
2019/10/18, 56, 33, 44, 22, , 5
2019/10/19, 77, 17, 38, 9, , 2
2019/10/20, 44, 17, 23, 4, 1, 1
2019/10/21, 34, 30, 18, 19, 1, 4
